120.198.233.71 - - [22/Dec/2014:00:01:22 +0800] "GET /app/yiqichang.apk HTTP/1.1" 304 0 "-" "Mozilla/5.0 Gecko/20100115 Firefox/3.6" "-""0.045"
220.181.132.200 - - [22/Dec/2014:00:14:35 +0800] "GET /js/jquery.easings.min.js HTTP/1.1" 200 5451 "http://www.17chang.com/" "Mozilla/5.0 (X11; Windows x86_64) AppleWebKit/536.11 (KHTML, like Gecko) chrome/22.0.1190.0 Safari/536.11" "-""0.000"
220.181.132.200 - - [22/Dec/2014:00:14:36 +0800] "GET /js/jquery.slimscroll.min.js HTTP/1.1" 200 1970 "http://www.17chang.com/" "Mozilla/5.0 (X11; Windows x86_64) AppleWebKit/536.11 (KHTML, like Gecko) chrome/22.0.1190.0 Safari/536.11" "-""0.000"
220.181.132.200 - - [22/Dec/2014:00:14:36 +0800] "GET /js/jquery.fullPage.min.js HTTP/1.1" 200 6272 "http://www.17chang.com/" "Mozilla/5.0 (X11; Windows x86_64) AppleWebKit/536.11 (KHTML, like Gecko) chrome/22.0.1190.0 Safari/536.11" "-""0.000"
220.181.132.200 - - [22/Dec/2014:00:14:36 +0800] "GET /js/newgame.js HTTP/1.1" 200 1636 "http://www.17chang.com/" "Mozilla/5.0 (X11; Windows x86_64) AppleWebKit/536.11 (KHTML, like Gecko) chrome/22.0.1190.0 Safari/536.11" "-""0.000"
220.181.132.200 - - [22/Dec/2014:00:14:36 +0800] "GET /js/jquery.min.js HTTP/1.1" 200 37399 "http://www.17chang.com/" "Mozilla/5.0 (X11; Windows x86_64) AppleWebKit/536.11 (KHTML, like Gecko) chrome/22.0.1190.0 Safari/536.11" "-""0.059"
203.208.60.82 - - [22/Dec/2014:00:16:41 +0800] "GET /about.php HTTP/1.1" 200 2619 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)" "-""0.001"
111.23.4.4 - - [22/Dec/2014:00:20:10 +0800] "GET /app/yiqichang.apk HTTP/1.1" 304 0 "-" "Mozilla/5.0 Gecko/20100115 Firefox/3.6" "-""0.049"
112.64.61.8 - - [22/Dec/2014:00:24:03 +0800] "GET / HTTP/1.1" 301 178 "http://www.lagou.com/jobs/317509.html?source=search" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:33.0) Gecko/20100101 Firefox/33.0" "-""0.000"
112.64.61.8 - - [22/Dec/2014:00:24:03 +0800] "GET / HTTP/1.1" 200 3314 "http://www.lagou.com/jobs/317509.html?source=search" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:33.0) Gecko/20100101 Firefox/33.0" "-""0.002"
112.64.61.8 - - [22/Dec/2014:00:24:03 +0800] "GET /css/join.min.css HTTP/1.1" 200 2888 "http://www.17chang.com/" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:33.0) Gecko/20100101 Firefox/33.0" "-""0.000"
112.64.61.8 - - [22/Dec/2014:00:24:03 +0800] "GET /css/jquery.fullPage.css HTTP/1.1" 200 1184 "http://www.17chang.com/" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:33.0) Gecko/20100101 Firefox/33.0" "-""0.000"
112.64.61.8 - - [22/Dec/2014:00:24:03 +0800] "GET /css/style.min.css HTTP/1.1" 200 7972 "http://www.17chang.com/" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:33.0) Gecko/20100101 Firefox/33.0" "-""0.000"
112.64.61.8 - - [22/Dec/2014:00:24:03 +0800] "GET /js/jquery.min.js HTTP/1.1" 200 37399 "http://www.17chang.com/" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:33.0) Gecko/20100101 Firefox/33.0" "-""0.061"
112.64.61.8 - - [22/Dec/2014:00:24:03 +0800] "GET /js/jquery.easings.min.js HTTP/1.1" 200 5451 "http://www.17chang.com/" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:33.0) Gecko/20100101 Firefox/33.0" "-""0.000"
112.64.61.8 - - [22/Dec/2014:00:24:03 +0800] "GET /js/jquery.slimscroll.min.js HTTP/1.1" 200 1970 "http://www.17chang.com/" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:33.0) Gecko/20100101 Firefox/33.0" "-""0.000"
112.64.61.8 - - [22/Dec/2014:00:24:03 +0800] "GET /js/jquery.fullPage.min.js HTTP/1.1" 200 6272 "http://www.17chang.com/" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:33.0) Gecko/20100101 Firefox/33.0" "-""0.000"
112.64.61.8 - - [22/Dec/2014:00:24:03 +0800] "GET /js/newgame.js HTTP/1.1" 200 1636 "http://www.17chang.com/" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:33.0) Gecko/20100101 Firefox/33.0" "-""0.000"
112.64.61.8 - - [22/Dec/2014:00:24:15 +0800] "GET /about.php HTTP/1.1" 200 2619 "http://www.17chang.com/" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:33.0) Gecko/20100101 Firefox/33.0" "-""0.001"
198.47.104.138 - - [22/Dec/2014:00:26:16 +0800] "GET / HTTP/1.0" 301 178 "-" "Wget/1.11.4 Red Hat modified" "-""0.000"
198.47.104.138 - - [22/Dec/2014:00:26:18 +0800] "GET / HTTP/1.0" 200 14753 "-" "Wget/1.11.4 Red Hat modified" "-""0.734"
183.213.10.72 - - [22/Dec/2014:00:31:18 +0800] "GET /app/yiqichang.apk HTTP/1.1" 304 0 "-" "Mozilla/5.0 Gecko/20100115 Firefox/3.6" "-""0.028"
123.155.152.149 - - [22/Dec/2014:00:39:42 +0800] "GET / HTTP/1.1" 301 178 "http://www.lagou.com/jobs/37922.html?source=search" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36 SE 2.X MetaSr 1.0" "-""0.000"
123.155.152.149 - - [22/Dec/2014:00:39:43 +0800] "GET / HTTP/1.1" 200 3314 "http://www.lagou.com/jobs/37922.html?source=search" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36 SE 2.X MetaSr 1.0" "-""0.001"
123.155.152.149 - - [22/Dec/2014:00:39:43 +0800] "GET /css/join.min.css HTTP/1.1" 200 2888 "http://www.17chang.com/" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36 SE 2.X MetaSr 1.0" "-""0.000"
123.155.152.149 - - [22/Dec/2014:00:39:43 +0800] "GET /css/style.min.css HTTP/1.1" 200 7972 "http://www.17chang.com/" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36 SE 2.X MetaSr 1.0" "-""0.000"
123.155.152.149 - - [22/Dec/2014:00:39:43 +0800] "GET /css/jquery.fullPage.css HTTP/1.1" 200 1184 "http://www.17chang.com/" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36 SE 2.X MetaSr 1.0" "-""0.000"
123.155.152.149 - - [22/Dec/2014:00:39:43 +0800] "GET /js/jquery.easings.min.js HTTP/1.1" 200 5451 "http://www.17chang.com/" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36 SE 2.X MetaSr 1.0" "-""0.000"
123.155.152.149 - - [22/Dec/2014:00:39:43 +0800] "GET /js/jquery.slimscroll.min.js HTTP/1.1" 200 1970 "http://www.17chang.com/" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36 SE 2.X MetaSr 1.0" "-""0.000"
123.155.152.149 - - [22/Dec/2014:00:39:43 +0800] "GET /js/newgame.js HTTP/1.1" 200 1636 "http://www.17chang.com/" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36 SE 2.X MetaSr 1.0" "-""0.000"
123.155.152.149 - - [22/Dec/2014:00:39:43 +0800] "GET /js/jquery.fullPage.min.js HTTP/1.1" 200 6272 "http://www.17chang.com/" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36 SE 2.X MetaSr 1.0" "-""0.000"
123.155.152.149 - - [22/Dec/2014:00:39:43 +0800] "GET /js/jquery.min.js HTTP/1.1" 200 37399 "http://www.17chang.com/" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36 SE 2.X MetaSr 1.0" "-""0.290"
220.181.108.120 - - [22/Dec/2014:00:40:20 +0800] "GET / HTTP/1.1" 301 178 "-" "Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)" "-""0.000"
220.181.108.106 - - [22/Dec/2014:00:40:21 +0800] "GET / HTTP/1.1" 200 3314 "-" "Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)" "-""0.001"
220.181.108.106 - - [22/Dec/2014:00:40:21 +0800] "GET /js/jquery.easings.min.js HTTP/1.1" 200 5451 "http://www.17chang.com/" "Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)" "-""0.000"
220.181.108.118 - - [22/Dec/2014:00:40:21 +0800] "GET /js/jquery.fullPage.min.js HTTP/1.1" 200 6272 "http://www.17chang.com/" "Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)" "-""0.000"
220.181.108.121 - - [22/Dec/2014:00:40:21 +0800] "GET /js/jquery.slimscroll.min.js HTTP/1.1" 200 1970 "http://www.17chang.com/" "Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)" "-""0.000"
220.181.108.104 - - [22/Dec/2014:00:40:21 +0800] "GET /js/newgame.js HTTP/1.1" 200 1636 "http://www.17chang.com/" "Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)" "-""0.000"
220.181.108.120 - - [22/Dec/2014:00:40:21 +0800] "GET /js/jquery.min.js HTTP/1.1" 200 37399 "http://www.17chang.com/" "Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)" "-""0.063"
123.155.152.149 - - [22/Dec/2014:00:40:27 +0800] "GET /index.php HTTP/1.1" 200 3314 "http://www.17chang.com/" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36 SE 2.X MetaSr 1.0" "-""0.001"
123.155.152.149 - - [22/Dec/2014:00:40:28 +0800] "GET /about.php HTTP/1.1" 200 2619 "http://www.17chang.com/index.php" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36 SE 2.X MetaSr 1.0" "-""0.001"
123.155.152.149 - - [22/Dec/2014:00:40:50 +0800] "GET /join.php HTTP/1.1" 200 7168 "http://www.17chang.com/about.php" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36 SE 2.X MetaSr 1.0" "-""0.001"
123.155.152.149 - - [22/Dec/2014:00:41:04 +0800] "GET /contact.php HTTP/1.1" 200 2062 "http://www.17chang.com/join.php" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36 SE 2.X MetaSr 1.0" "-""0.001"
123.155.152.149 - - [22/Dec/2014:00:41:16 +0800] "GET /index.php HTTP/1.1" 200 3314 "http://www.17chang.com/contact.php" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36 SE 2.X MetaSr 1.0" "-""0.001"
221.235.187.10 - - [22/Dec/2014:00:42:55 +0800] "GET / HTTP/1.0" 301 178 "-" "Wget/1.11.4 Red Hat modified" "-""0.000"
221.235.187.10 - - [22/Dec/2014:00:42:55 +0800] "GET / HTTP/1.0" 200 14753 "-" "Wget/1.11.4 Red Hat modified" "-""0.053"
112.253.19.135 - - [22/Dec/2014:00:43:53 +0800] "GET / HTTP/1.0" 301 178 "-" "Wget/1.11.4 Red Hat modified" "-""0.000"
112.253.19.135 - - [22/Dec/2014:00:43:53 +0800] "GET / HTTP/1.0" 200 14753 "-" "Wget/1.11.4 Red Hat modified" "-""0.120"
220.181.51.108 - - [22/Dec/2014:00:46:02 +0800] "GET /contact.php HTTP/1.1" 200 2062 "http://www.baidu.com/s?ie=utf-8&f=8&rsv_bp=1&rsv_spt=3&wd=www.17chang.com&inputT=45158" "Mozilla/5.0 (Windows NT 5.1; rv:6.0.2) Gecko/20100101 Firefox/6.0.2" "-""0.033"
220.181.51.110 - - [22/Dec/2014:00:47:43 +0800] "GET / HTTP/1.1" 200 3314 "http://www.baidu.com/s?ie=utf-8&f=8&rsv_bp=1&rsv_spt=3&wd=www.17chang.com&inputT=18437" "Mozilla/5.0 (Windows NT 5.1; rv:6.0.2) Gecko/20100101 Firefox/6.0.2" "-""0.033"
123.125.71.117 - - [22/Dec/2014:00:50:16 +0800] "GET /about.php HTTP/1.1" 200 2619 "-" "Mozilla/5.0 (Linux;u;Android 2.3.7;zh-cn;) AppleWebKit/533.1 (KHTML,like Gecko) Version/4.0 Mobile Safari/533.1 (compatible; +http://www.baidu.com/search/spi_der.html)" "-""0.034"
221.204.172.133 - - [22/Dec/2014:01:00:49 +0800] "GET /app/yiqichang.apk HTTP/1.1" 304 0 "-" "Mozilla/5.0 Gecko/20100115 Firefox/3.6" "-""0.068"
140.206.155.104 - - [22/Dec/2014:01:04:42 +0800] "GET /images/email_logo.png HTTP/1.1" 200 7423 "-" "Mozilla/5.0 (iPhone; CPU iPhone OS 8_1_2 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Mobile/12B440 MicroMessenger/6.0.1 NetType/WIFI" "-""0.000"
60.5.255.198 - - [22/Dec/2014:01:04:51 +0800] "GET / HTTP/1.0" 301 178 "-" "Wget/1.11.4 Red Hat modified" "-""0.000"
60.5.255.198 - - [22/Dec/2014:01:04:51 +0800] "GET / HTTP/1.0" 200 14753 "-" "Wget/1.11.4 Red Hat modified" "-""0.100"
101.254.159.117 - - [22/Dec/2014:01:07:24 +0800] "GET /app/yiqichang.apk HTTP/1.1" 304 0 "-" "Mozilla/5.0 Gecko/20100115 Firefox/3.6" "-""0.048"
140.206.155.104 - - [22/Dec/2014:01:11:04 +0800] "GET /images/email_logo.png HTTP/1.1" 304 0 "http://set1.mail.qq.com/cgi-bin/readmail?folderid=1&folderkey=1&t=readmail&mailid=ZC3419-D0PEUEythC2~GDltwY9Be4c&mode=pre&maxage=3600&base=12.469999999999999&ver=17671&sid=Ux8b4PwD-1bAFzZi" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36" "-""0.000"
219.145.249.9 - - [22/Dec/2014:01:14:46 +0800] "GET / HTTP/1.1" 302 14748 "http://m.baidu.com/from=844b/s?word=%E4%B8%80%E8%B5%B7%E5%94%B1&sa=bb" "Mozilla/5.0 (Linux; U; Android 4.2.2; zh-cn; HTC-802d/2.25.1401.1) AndroidWebKit/534.30 (KHTML, Like Gecko) Version/4.0 Mobile Safari/534.30" "-""0.001"
219.145.249.9 - - [22/Dec/2014:01:14:46 +0800] "GET /mobile HTTP/1.1" 301 178 "http://m.baidu.com/from=844b/s?word=%E4%B8%80%E8%B5%B7%E5%94%B1&sa=bb" "Mozilla/5.0 (Linux; U; Android 4.2.2; zh-cn; HTC-802d/2.25.1401.1) AndroidWebKit/534.30 (KHTML, Like Gecko) Version/4.0 Mobile Safari/534.30" "-""0.000"
219.145.249.9 - - [22/Dec/2014:01:14:47 +0800] "GET /mobile/ HTTP/1.1" 200 4652 "http://m.baidu.com/from=844b/s?word=%E4%B8%80%E8%B5%B7%E5%94%B1&sa=bb" "Mozilla/5.0 (Linux; U; Android 4.2.2; zh-cn; HTC-802d/2.25.1401.1) AndroidWebKit/534.30 (KHTML, Like Gecko) Version/4.0 Mobile Safari/534.30" "-""0.001"
219.145.249.9 - - [22/Dec/2014:01:14:47 +0800] "GET /mobile/css/style.min.css HTTP/1.1" 200 6262 "http://www.17chang.com/mobile/" "Mozilla/5.0 (Linux; U; Android 4.2.2; zh-cn; HTC-802d/2.25.1401.1) AndroidWebKit/534.30 (KHTML, Like Gecko) Version/4.0 Mobile Safari/534.30" "-""0.000"
219.145.249.9 - - [22/Dec/2014:01:14:47 +0800] "GET /mobile/js/zepto.min.js HTTP/1.1" 200 10165 "http://www.17chang.com/mobile/" "Mozilla/5.0 (Linux; U; Android 4.2.2; zh-cn; HTC-802d/2.25.1401.1) AndroidWebKit/534.30 (KHTML, Like Gecko) Version/4.0 Mobile Safari/534.30" "-""0.000"
219.145.249.9 - - [22/Dec/2014:01:14:47 +0800] "GET /mobile/js/touch.js HTTP/1.1" 200 2069 "http://www.17chang.com/mobile/" "Mozilla/5.0 (Linux; U; Android 4.2.2; zh-cn; HTC-802d/2.25.1401.1) AndroidWebKit/534.30 (KHTML, Like Gecko) Version/4.0 Mobile Safari/534.30" "-""0.000"
219.145.249.9 - - [22/Dec/2014:01:14:47 +0800] "GET /mobile/js/event.js HTTP/1.1" 200 3173 "http://www.17chang.com/mobile/" "Mozilla/5.0 (Linux; U; Android 4.2.2; zh-cn; HTC-802d/2.25.1401.1) AndroidWebKit/534.30 (KHTML, Like Gecko) Version/4.0 Mobile Safari/534.30" "-""0.000"
219.145.249.9 - - [22/Dec/2014:01:14:47 +0800] "GET /mobile/js/holder.js HTTP/1.1" 200 9464 "http://www.17chang.com/mobile/" "Mozilla/5.0 (Linux; U; Android 4.2.2; zh-cn; HTC-802d/2.25.1401.1) AndroidWebKit/534.30 (KHTML, Like Gecko) Version/4.0 Mobile Safari/534.30" "-""0.000"
219.145.249.9 - - [22/Dec/2014:01:14:47 +0800] "GET /mobile/js/mobile.js HTTP/1.1" 200 1466 "http://www.17chang.com/mobile/" "Mozilla/5.0 (Linux; U; Android 4.2.2; zh-cn; HTC-802d/2.25.1401.1) AndroidWebKit/534.30 (KHTML, Like Gecko) Version/4.0 Mobile Safari/534.30" "-""0.000"
219.145.249.9 - - [22/Dec/2014:01:14:47 +0800] "GET /mobile/js/index.js HTTP/1.1" 200 764 "http://www.17chang.com/mobile/" "Mozilla/5.0 (Linux; U; Android 4.2.2; zh-cn; HTC-802d/2.25.1401.1) AndroidWebKit/534.30 (KHTML, Like Gecko) Version/4.0 Mobile Safari/534.30" "-""0.000"
219.145.249.9 - - [22/Dec/2014:01:14:48 +0800] "GET /mobile/js/angular.min.js HTTP/1.1" 200 40737 "http://www.17chang.com/mobile/" "Mozilla/5.0 (Linux; U; Android 4.2.2; zh-cn; HTC-802d/2.25.1401.1) AndroidWebKit/534.30 (KHTML, Like Gecko) Version/4.0 Mobile Safari/534.30" "-""0.616"
219.145.249.9 - - [22/Dec/2014:01:15:00 +0800] "GET / HTTP/1.1" 302 14748 "http://m.baidu.com/from=844b/s?word=%E4%B8%80%E8%B5%B7%E5%94%B1&sa=bb" "Mozilla/5.0 (Linux; U; Android 4.2.2; zh-cn; HTC-802d/2.25.1401.1) AndroidWebKit/534.30 (KHTML, Like Gecko) Version/4.0 Mobile Safari/534.30" "-""0.001"
219.145.249.9 - - [22/Dec/2014:01:15:01 +0800] "GET /mobile HTTP/1.1" 301 178 "http://m.baidu.com/from=844b/s?word=%E4%B8%80%E8%B5%B7%E5%94%B1&sa=bb" "Mozilla/5.0 (Linux; U; Android 4.2.2; zh-cn; HTC-802d/2.25.1401.1) AndroidWebKit/534.30 (KHTML, Like Gecko) Version/4.0 Mobile Safari/534.30" "-""0.000"
219.145.249.9 - - [22/Dec/2014:01:15:01 +0800] "GET /mobile/ HTTP/1.1" 200 4652 "http://m.baidu.com/from=844b/s?word=%E4%B8%80%E8%B5%B7%E5%94%B1&sa=bb" "Mozilla/5.0 (Linux; U; Android 4.2.2; zh-cn; HTC-802d/2.25.1401.1) AndroidWebKit/534.30 (KHTML, Like Gecko) Version/4.0 Mobile Safari/534.30" "-""0.001"
219.145.249.9 - - [22/Dec/2014:01:15:08 +0800] "POST /mobile/api.php HTTP/1.1" 200 2785 "http://www.17chang.com/mobile/" "Mozilla/5.0 (Linux; U; Android 4.2.2; zh-cn; HTC-802d/2.25.1401.1) AndroidWebKit/534.30 (KHTML, Like Gecko) Version/4.0 Mobile Safari/534.30" "-""0.117"
219.145.249.9 - - [22/Dec/2014:01:16:35 +0800] "GET / HTTP/1.1" 302 14748 "http://m.baidu.com/from=844b/s?word=%E4%B8%80%E8%B5%B7%E5%94%B1&sa=bb" "Mozilla/5.0 (Linux; U; Android 4.2.2; zh-cn; HTC-802d/2.25.1401.1) AndroidWebKit/534.30 (KHTML, Like Gecko) Version/4.0 Mobile Safari/534.30" "-""0.001"
219.145.249.9 - - [22/Dec/2014:01:16:35 +0800] "GET /mobile/ HTTP/1.1" 200 4652 "http://m.baidu.com/from=844b/s?word=%E4%B8%80%E8%B5%B7%E5%94%B1&sa=bb" "Mozilla/5.0 (Linux; U; Android 4.2.2; zh-cn; HTC-802d/2.25.1401.1) AndroidWebKit/534.30 (KHTML, Like Gecko) Version/4.0 Mobile Safari/534.30" "-""0.001"
219.145.249.9 - - [22/Dec/2014:01:16:49 +0800] "GET /about.php HTTP/1.1" 200 2619 "http://m.baidu.com/from=844b/s?word=%E4%B8%80%E8%B5%B7%E5%94%B1&sa=bb" "Mozilla/5.0 (Linux; U; Android 4.2.2; zh-cn; HTC-802d/2.25.1401.1) AndroidWebKit/534.30 (KHTML, Like Gecko) Version/4.0 Mobile Safari/534.30" "-""0.001"
219.145.249.9 - - [22/Dec/2014:01:16:49 +0800] "GET /css/join.min.css HTTP/1.1" 200 2888 "http://www.17chang.com/about.php" "Mozilla/5.0 (Linux; U; Android 4.2.2; zh-cn; HTC-802d/2.25.1401.1) AndroidWebKit/534.30 (KHTML, Like Gecko) Version/4.0 Mobile Safari/534.30" "-""0.000"
219.145.249.9 - - [22/Dec/2014:01:16:50 +0800] "GET /js/jquery.min.js HTTP/1.1" 200 37399 "http://www.17chang.com/about.php" "Mozilla/5.0 (Linux; U; Android 4.2.2; zh-cn; HTC-802d/2.25.1401.1) AndroidWebKit/534.30 (KHTML, Like Gecko) Version/4.0 Mobile Safari/534.30" "-""0.446"
219.145.249.9 - - [22/Dec/2014:01:17:03 +0800] "GET /join.php HTTP/1.1" 200 7168 "http://www.17chang.com/about.php" "Mozilla/5.0 (Linux; U; Android 4.2.2; zh-cn; HTC-802d/2.25.1401.1) AndroidWebKit/534.30 (KHTML, Like Gecko) Version/4.0 Mobile Safari/534.30" "-""0.001"
118.122.85.238 - - [22/Dec/2014:01:17:47 +0800] "GET / HTTP/1.1" 301 178 "http://weibo.com/yinsang13" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.95 Safari/537.36" "-""0.000"
118.122.85.238 - - [22/Dec/2014:01:17:48 +0800] "GET / HTTP/1.1" 200 3314 "http://weibo.com/yinsang13" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.95 Safari/537.36" "-""0.001"
118.122.85.238 - - [22/Dec/2014:01:17:48 +0800] "GET /css/join.min.css HTTP/1.1" 200 2888 "http://www.17chang.com/" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.95 Safari/537.36" "-""0.000"
118.122.85.238 - - [22/Dec/2014:01:17:48 +0800] "GET /css/jquery.fullPage.css HTTP/1.1" 200 1184 "http://www.17chang.com/" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.95 Safari/537.36" "-""0.000"
118.122.85.238 - - [22/Dec/2014:01:17:48 +0800] "GET /js/jquery.easings.min.js HTTP/1.1" 200 5451 "http://www.17chang.com/" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.95 Safari/537.36" "-""0.000"
118.122.85.238 - - [22/Dec/2014:01:17:48 +0800] "GET /css/style.min.css HTTP/1.1" 200 7972 "http://www.17chang.com/" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.95 Safari/537.36" "-""0.000"
